time,x,y,pressure,tilt_x,tilt_y
1607469160667481,12466,6875,0,0,3200
1607469160669330,12465,6876,0,0,3200
1607469160671171,12462,6876,0,0,3200
1607469160673022,12460,6877,0,0,3200
1607469160674864,12458,6877,0,0,3200
1607469160676719,12456,6877,0,0,3200
1607469160678564,12454,6877,0,0,3200
1607469160680416,12452,6876,0,0,3200
1607469160682266,12450,6875,0,0,3200
1607469160684114,12449,6875,0,0,3200
1607469160685960,12448,6873,0,0,3200
1607469160687811,12448,6872,0,0,3200
1607469160689657,12447,6871,0,0,3200
1607469160691502,12446,6870,0,0,3200
1607469160693349,12444,6867,0,0,3200
1607469160695201,12443,6864,0,0,3200
1607469160697046,12439,6861,0,0,3200
1607469160698898,12438,6860,0,0,3200
1607469160700748,12435,6858,0,0,3200
1607469160702597,12433,6856,0,0,3200
1607469160704443,12431,6854,0,0,3200
1607469160706290,12428,6852,0,0,3200
1607469160708139,12426,6851,0,0,3200
1607469160709986,12423,6850,0,0,3200
1607469160711849,12421,6849,0,0,3200
1607469160713684,12420,6848,0,0,3200
1607469160715531,12418,6847,0,0,3200
1607469160719242,12415,6847,0,0,3200
1607469160721082,12414,6848,0,0,3200
1607469160724766,12413,6848,0,0,3200
1607469160726621,12414,6848,0,0,3200
1607469160728467,12414,6848,0,0,3200
1607469160730312,12415,6848,0,0,3200
1607469160732157,12416,6849,0,0,3200
1607469160735846,12416,6849,0,0,3200
1607469160737699,12414,6849,0,0,3200
1607469160739549,12413,6849,0,0,3200
1607469160741400,12412,6848,0,0,3200
1607469160743249,12411,6848,0,0,3200
1607469160745092,12410,6848,0,0,3200
1607469160746945,12408,6848,0,0,3200
1607469160748794,12407,6848,0,0,3200
1607469160750643,12406,6847,0,0,3200
1607469160752487,12405,6847,0,0,3200
1607469160754336,12402,6847,0,0,3200
1607469160756179,12400,6846,0,0,3200
1607469160758032,12397,6846,0,0,3200
1607469160759876,12395,6846,0,0,3200
1607469160761730,12396,6846,0,0,3200
1607469160765420,12397,6845,0,0,3200
1607469160772812,12397,6844,0,0,3200
1607469160774670,12396,6844,0,0,3200
1607469160776514,12397,6844,0,0,3200
1607469160778362,12397,6843,0,0,3200
1607469160780211,12397,6843,0,0,3200
1607469160782064,12397,6842,0,0,3200
1607469160783915,12395,6842,0,0,3200
1607469160785760,12393,6841,0,0,3200
1607469160787605,12391,6841,0,0,3200
1607469160789451,12389,6841,0,0,3200
1607469160791302,12387,6841,0,0,3200
1607469160793146,12385,6841,0,0,3200
1607469160794987,12383,6840,0,0,3200
1607469160796884,12373,6838,0,0,3200
1607469160798687,12373,6838,1841,0,3200
1607469160800545,12371,6838,2174,0,3200
1607469160802382,12369,6838,2357,0,3200
1607469160804226,12369,6839,2473,4294967196,3200
1607469160806075,12369,6839,2585,4294967196,3200
1607469160807920,12368,6840,2722,4294967196,3200
1607469160809768,12367,6840,2872,4294967196,3200
1607469160811616,12374,6841,3000,4294967196,3200
1607469160813461,12373,6843,3096,4294967196,3200
1607469160815310,12365,6844,3171,4294967196,3200
1607469160817160,12366,6845,3229,4294967196,3200
1607469160819008,12366,6846,3276,4294967196,3200
1607469160820858,12366,6848,3321,4294967196,3200
1607469160822707,12367,6851,3364,4294967196,3200
1607469160824552,12371,6854,3397,4294967196,3200
1607469160826399,12373,6857,3427,4294967196,3200
1607469160828250,12372,6861,3457,4294967196,3200
1607469160830110,12374,6865,3480,4294967196,3200
1607469160831951,12378,6870,3501,4294967196,3200
1607469160833794,12383,6875,3521,4294967196,3200
1607469160835641,12380,6880,3546,4294967196,3200
1607469160837490,12384,6885,3570,4294967196,3200
1607469160839335,12395,6891,3588,4294967196,3200
1607469160841190,12402,6898,3608,4294967196,3200
1607469160843035,12409,6903,3628,4294967196,3200
1607469160844883,12416,6909,3647,4294967196,3200
1607469160846732,12426,6916,3660,4294967196,3200
1607469160848582,12431,6923,3670,4294967196,3200
1607469160850427,12435,6930,3679,4294967196,3200
1607469160852269,12446,6937,3684,4294967196,3200
1607469160854118,12454,6944,3689,4294967196,3200
1607469160855963,12462,6953,3692,4294967196,3200
1607469160857812,12472,6961,3695,4294967196,3200
1607469160859659,12487,6969,3697,4294967196,3200
1607469160861514,12497,6978,3699,4294967196,3200
1607469160863358,12503,6987,3700,4294967196,3200
1607469160865207,12514,6995,3704,4294967196,3200
1607469160867054,12524,7003,3707,4294967196,3200
1607469160868901,12534,7011,3708,4294967196,3200
1607469160870753,12549,7019,3707,4294967196,3200
1607469160872595,12559,7027,3707,4294967196,3200
1607469160874442,12566,7035,3711,4294967196,3200
1607469160876297,12578,7042,3715,4294967196,3200
1607469160878144,12589,7049,3713,4294967196,3200
1607469160879990,12598,7057,3715,4294967196,3200
1607469160881840,12610,7064,3720,4294967196,3300
1607469160883690,12614,7070,3722,4294967196,3300
1607469160885537,12622,7076,3722,4294967196,3300
1607469160887384,12636,7082,3723,4294967196,3300
1607469160889235,12646,7087,3724,4294967196,3300
1607469160891097,12657,7092,3726,4294967196,3300
1607469160892931,12666,7096,3727,4294967196,3300
1607469160894777,12665,7099,3728,4294967196,3300
1607469160896624,12674,7100,3729,4294967196,3300
1607469160898473,12691,7102,3727,4294967196,3300
1607469160900321,12698,7104,3719,4294967196,3300
1607469160902170,12706,7105,3709,4294967196,3300
1607469160904018,12713,7105,3704,4294967196,3300
1607469160905867,12726,7104,3697,4294967196,3300
1607469160907712,12728,7103,3683,4294967196,3300
1607469160909563,12725,7101,3682,4294967196,3300
1607469160911412,12731,7100,3685,4294967196,3300
1607469160913252,12732,7098,3676,4294967196,3300
1607469160915104,12734,7095,3676,4294967196,3300
1607469160916950,12736,7091,3680,4294967196,3300
1607469160918800,12746,7087,3685,4294967196,3300
1607469160920648,12746,7083,3688,4294967196,3300
1607469160922498,12740,7079,3699,4294967196,3300
1607469160924347,12740,7074,3702,4294967196,3300
1607469160926194,12737,7069,3695,4294967196,3300
1607469160928038,12735,7064,3697,4294967196,3300
1607469160929891,12726,7060,3702,4294967196,3300
1607469160931734,12725,7053,3714,4294967196,3300
1607469160933578,12727,7046,3716,4294967196,3300
1607469160935430,12723,7040,3720,4294967196,3300
1607469160937276,12719,7034,3733,4294967196,3300
